-38.03	Yaw : -3.82	Label : 3
Roll : 12.97	Pitch : -69.47	Yaw : -4.79	Label : 3
Roll : 12.58	Pitch : -68.34	Yaw : -4.75	Label : 3
Roll : 12.38	Pitch : -67.64	Yaw : -4.71	Label : 3
Roll : 12.29	Pitch : -67.73	Yaw : -4.70	Label : 3
Roll : 12.24	Pitch : -67.48	Yaw : -4.69	Label : 3
Roll : 12.26	Pitch : -67.29	Yaw : -4.50	Label : 3
Roll : 12.16	Pitch : -66.99	Yaw : -4.47	Label : 3
Roll : 12.03	Pitch : -66.89	Yaw : -4.50	Label : 3
Roll : 12.22	Pitch : -66.49	Yaw : -4.61	Label : 3
Roll : 11.78	Pitch : -65.50	Yaw : -4.69	Label : 3
Roll : 11.55	Pitch : -65.62	Yaw : -4.56	Label : 3
Roll : 11.47	Pitch : -65.21	Yaw : -4.63	Label : 3
Roll : 11.36	Pitch : -64.19	Yaw : -4.66	Label : 3
Roll : 11.14	Pitch : -64.61	Yaw : -4.48	Label : 3
Roll : 11.28	Pitch : -63.81	Yaw : -4.48	Label : 3
Roll : 10.83	Pitch : -63.84	Yaw : -4.34	Label : 3
Roll : 10.96	Pitch : -63.86	Yaw : -4.41	Label : 3
Roll : 10.90	Pitch : -63.47	Yaw : -4.42	Label : 3
Roll : 10.74	Pitch : -62.90	Yaw : -4.40	Label : 3
Roll : 10.43	Pitch : -62.73	Yaw : -4.32	Label : 3
Roll : 10.13	Pitch : -62.17	Yaw : -4.46	Label : 3
Roll : 9.77	Pitch : -62.13	Yaw : -4.58	Label : 3
Roll : 9.04	Pitch : -60.98	Yaw : -4.46	Label : 3
Roll : 8.31	Pitch : -60.61	Yaw : -4.15	Label : 3
Roll : 7.46	Pitch : -60.26	Yaw : -3.83	Label : 3
Roll : 5.66	Pitch : -60.40	Yaw : -3.78	Label : 3
Roll : 4.96	Pitch : -59.88	Yaw : -4.10	Label : 3
Roll : 4.20	Pitch : -58.88	Yaw : -4.15	Label : 3
Roll : 3.69	Pitch : -58.59	Yaw : -4.04	Label : 3
Roll : 2.73	Pitch : -59.31	Yaw : -3.81	Label : 3
Roll : 2.37	Pitch : -59.01	Yaw : -3.64	Label : 3
Roll : 1.60	Pitch : -59.30	Yaw : -3.73	Label : 3
Roll : 1.97	Pitch : -58.64	Yaw : -3.91	Label : 3
Roll : 1.10	Pitch : -58.66	Yaw : -3.84	Label : 3
Roll : 1.11	Pitch : -58.52	Yaw : -3.58	Label : 3
Roll : 0.48	Pitch : -58.54	Yaw : -3.62	Label : 3
Roll : 0.44	Pitch : -57.86	Yaw : -3.58	Label : 3
Roll : -0.25	Pitch : -57.81	Yaw : -3.34	Label : 3
Roll : -0.34	Pitch : -57.55	Yaw : -3.06	Label : 3
Roll : -1.19	Pitch : -57.50	Yaw : -2.96	Label : 3
Roll : -2.14	Pitch : -57.50	Yaw : -2.51	Label : 3
Roll : -2.69	Pitch : -56.93	Yaw : -2.49	Label : 3
Roll : -4.03	Pitch : -57.75	Yaw : -2.06	Label : 3
Roll : -4.40	Pitch : -57.15	Yaw : -1.86	Label : 3
Roll : -5.74	Pitch : -58.02	Yaw : -1.71	Label : 3
Roll : -5.67	Pitch : -57.26	Yaw : -1.88	Label : 3
Roll : -6.56	Pitch : -57.33	Yaw : -2.06	Label : 3
Roll : -6.69	Pitch : -57.44	Yaw : -1.81	Label : 3
Roll : -6.99	Pitch : -57.08	Yaw : -1.99	Label : 3
Roll : -6.87	Pitch : -57.50	Yaw : -1.55	Label : 3
Roll : -6.69	Pitch : -57.39	Yaw : -1.66	Label : 3
Roll : -6.73	Pitch : -57.54	Yaw : -1.43	Label : 3
Roll : -6.76	Pitch : -57.39	Yaw : -1.48	Label : 3
Roll : -6.44	Pitch : -57.34	Yaw : -1.57	Label : 3
Roll : -6.41	Pitch : -57.18	Yaw : -1.51	Label : 3
Roll : -6.63	Pitch : -57.43	Yaw : -1.47	Label : 3
Roll : -6.48	Pitch : -57.06	Yaw : -1.46	Label : 3
Roll : -7.02	Pitch : -57.14	Yaw : -1.71	Label : 3
Roll : -6.73	Pitch : -56.66	Yaw : -1.93	Label : 3
Roll : -7.26	Pitch : -56.71	Yaw : -2.02	Label : 3
Roll : -7.51	Pitch : -56.72	Yaw : -1.89	Label : 3
Roll : -8.49	Pitch : -57.10	Yaw : -1.50	Label : 3
Roll : -8.69	Pitch : -57.25	Yaw : -1.11	Label : 3
Roll : -9.56	Pitch : -57.61	Yaw : -1.06	Label : 3
Roll : -9.85	Pitch : -57.38	Yaw : -1.12	Label : 3
Roll : -11.05	Pitch : -57.48	Yaw : -1.33	Label : 3
Roll : -10.73	Pitch : -57.14	Yaw : -1.31	Label : 3
Roll : -11.22	Pitch : -57.12	Yaw : -1.45	Label : 3
Roll : -11.22	Pitch : -56.89	Yaw : -1.47	Label : 3
Roll : -11.32	Pitch : -56.58	Yaw : -1.61	Label : 3
Roll : -11.21	Pitch : -56.60	Yaw : -1.71	Label : 3
Roll : -11.03	Pitch : -56.06	Yaw : -1.75	Label : 3
Roll : -11.55	Pitch : -56.00	Yaw : -1.74	Label : 3
Roll : -10.86	Pitch : -55.35	Yaw : -1.90	Label : 3
